Title,Published at,ID,URL
【LNG】2023JAN 蟾蜍山的拔剌粉只要五十塊鵝乙,2023-01-29T05:09:32Z,KYjiFC2SHwA,https://www.youtube.com/watch?v=KYjiFC2SHwA
【LNG】2022DEC GDWSLLHH,2022-12-18T18:33:22Z,H2L8my3PtAw,https://www.youtube.com/watch?v=H2L8my3PtAw
【LNG】2022NOV B43Q的戰鬥還在繼續，鳥屎不在,2022-11-13T18:43:40Z,xVNkbLI2l5g,https://www.youtube.com/watch?v=xVNkbLI2l5g
【LNG】2022OCT 展邱喝蟑螂奶之後屎來則靈我們會以他為榮,2022-10-15T22:37:55Z,mNQwt3nntT4,https://www.youtube.com/watch?v=mNQwt3nntT4
【LNG】2022SEP 大家好我是Pato哥哥住在健身社區CBD給我把維他命吃下去龍崎區魯夫,2022-09-17T20:41:47Z,bsr4NmSTYVw,https://www.youtube.com/watch?v=bsr4NmSTYVw
【LNG】2022AUG 爪爪爪爪爪,2022-08-06T19:50:40Z,olFIAEvUF5s,https://www.youtube.com/watch?v=olFIAEvUF5s
【LNG】2022JUL 完兒啦芭比Q with your friend 啦,2022-07-10T05:55:18Z,5fo4PC8aIao,https://www.youtube.com/watch?v=5fo4PC8aIao
【LNG】2022JUN 鹹豬肉鹹豬肉燦燦燦,2022-07-02T03:17:07Z,O-uRg7HDsS4,https://www.youtube.com/watch?v=O-uRg7HDsS4
【LNG】2022MAY 我又修電腦我又放闢噴出一點史好喜嘿嘿,2022-05-14T20:19:33Z,IOisSFU4mCw,https://www.youtube.com/watch?v=IOisSFU4mCw
【LNG】2022APR 1+1=2 的問題還想,2022-04-09T20:07:21Z,1SpjDy1h5hU,https://www.youtube.com/watch?v=1SpjDy1h5hU
【LNG】2022MAR 立屎老師大隱形大便 x 冰內褲兩個禮拜伊吼人數與時數9退學再見,2022-03-12T22:07:59Z,EYxWDV1htKo,https://www.youtube.com/watch?v=EYxWDV1htKo
【LNG】2022FEB 早上好負責醜聯盟阿罵集團現在是，腸胃炎時間～,2022-02-12T19:51:06Z,1olCixqQtPA,https://www.youtube.com/watch?v=1olCixqQtPA
【LNG】2022JAN 佛地瓜索命咒打噓吹梗 x 我同學表姊是Lisa x 還有一百個紫變,2022-01-15T20:38:27Z,DF9ma1zdI_U,https://www.youtube.com/watch?v=DF9ma1zdI_U
【LNG】2021DEC 打不贏桌子就買水波爐煮白斬雞CSV下來讓你X1shot,2021-12-11T18:52:10Z,QecpqGL6IoU,https://www.youtube.com/watch?v=QecpqGL6IoU
【LNG】2021NOV 等到2024頭髮長出來就帶Yakisoba去北投找Pasta哥哥です,2021-11-20T17:43:50Z,3XzGRI3c0ZI,https://www.youtube.com/watch?v=3XzGRI3c0ZI
【LNG】2021OCT 老子直接在稻田金克拉的聊天室抖3000塊,2021-10-10T19:39:04Z,bkYlBVMQR1c,https://www.youtube.com/watch?v=bkYlBVMQR1c
【LNG】2021SEP 書志翔Bagel咬,2021-09-05T07:12:49Z,Tk5sE6zNUb4,https://www.youtube.com/watch?v=Tk5sE6zNUb4
【LNG】2021AUG 我就算中樂透也不會餔,2021-08-14T18:38:22Z,blew5xdbknw,https://www.youtube.com/watch?v=blew5xdbknw
【LNG】2021JUL 鬆帶肌肉聲了就跑去春水溝堂點胖老D炸爹,2021-07-10T18:59:26Z,MNbQ2Qkp3g8,https://www.youtube.com/watch?v=MNbQ2Qkp3g8
【LNG】2021JUN LNG x DnD,2021-06-14T20:25:27Z,kzb33SFcsuo,https://www.youtube.com/watch?v=kzb33SFcsuo
【LNG】2021MAY 你是不是想跟我甲匹丁料,2021-05-08T23:31:00Z,NGrxm6XfhaE,https://www.youtube.com/watch?v=NGrxm6XfhaE
【LNG】2021APR 美術80ㄈㄚ水澗規殺人,2021-04-17T19:46:26Z,KwVTA-ty6eo,https://www.youtube.com/watch?v=KwVTA-ty6eo
【LNG】2021MAR ㄤ祿商之爪 抓浩忠瑪琳 冠佑對不起,2021-03-20T20:46:02Z,vJLK6Liz5NU,https://www.youtube.com/watch?v=vJLK6Liz5NU
【LNG】2021FEB 金蘇魯3080拉拉拉拉拉,2021-02-27T20:46:27Z,KIqPbfasJ-E,https://www.youtube.com/watch?v=KIqPbfasJ-E
【LNG】2020DEC 小嘟撒,2021-01-17T06:35:54Z,ZCYGljCYBhw,https://www.youtube.com/watch?v=ZCYGljCYBhw
【LNG】2021JAN 電車難題啦,2021-01-17T06:35:52Z,uDi65YFaLQY,https://www.youtube.com/watch?v=uDi65YFaLQY
【LNG】2020NOV 吉,2020-12-30T07:48:03Z,VXjn7AP5CiY,https://www.youtube.com/watch?v=VXjn7AP5CiY
【LNG】2020OCT 魯天跟爾豆子在古野家,2020-11-02T05:35:18Z,Y9WnDnTwUbQ,https://www.youtube.com/watch?v=Y9WnDnTwUbQ
【LNG】2020SEP 喇咬郎BOGI 邱FIGEEMOWI,2020-09-19T21:38:55Z,5YOoRD3uVQI,https://www.youtube.com/watch?v=5YOoRD3uVQI
【LNG】2020AUG 來不來下敢,2020-08-15T17:09:00Z,6-htqfDbrr0,https://www.youtube.com/watch?v=6-htqfDbrr0
【LNG】2020JUL takenologic,2020-07-21T21:16:01Z,ElyhGHsTJvs,https://www.youtube.com/watch?v=ElyhGHsTJvs
【LNG】2020JUN 9Key 9Key Breeeeee,2020-06-28T07:54:01Z,IDrJSeNRAF0,https://www.youtube.com/watch?v=IDrJSeNRAF0
【LNG】2020MAY：傭兵造句：男友這麼平庸，兵變也是合理的。,2020-05-16T19:51:11Z,645YdbGr3XU,https://www.youtube.com/watch?v=645YdbGr3XU
【LNG】2020APR Totalひげ,2020-04-27T05:50:14Z,9R9ZnkyiZNk,https://www.youtube.com/watch?v=9R9ZnkyiZNk
【LNG】2020MAR 爽45678,2020-03-09T20:14:57Z,lq7cOtu85bY,https://www.youtube.com/watch?v=lq7cOtu85bY
【LNG】2020FEB 快糕朝了,2020-02-16T17:11:17Z,qlGJY3XBjaE,https://www.youtube.com/watch?v=qlGJY3XBjaE
【LNG】2020JAN 春酒,2020-02-08T23:04:39Z,P6cQl8ozHyE,https://www.youtube.com/watch?v=P6cQl8ozHyE
【LNG】2019DEC 人格變態,2020-02-08T22:57:53Z,Lr9mSyMI_J8,https://www.youtube.com/watch?v=Lr9mSyMI_J8
【LNG】2019OCT 南南東,2020-02-08T22:43:12Z,D7QThoJXOWo,https://www.youtube.com/watch?v=D7QThoJXOWo
【LNG】2019SEP 去鳥屎家pt1,2020-02-08T22:31:41Z,5GdhjjyvtFs,https://www.youtube.com/watch?v=5GdhjjyvtFs
【LNG】2019SEP 去鳥屎家pt2,2020-02-08T22:30:33Z,V2wQv_-Y5xM,https://www.youtube.com/watch?v=V2wQv_-Y5xM
【LNG】20190818 置入雨港基隆,2019-09-15T11:04:54Z,E6lT5rKn1Ds,https://www.youtube.com/watch?v=E6lT5rKn1Ds
【LNG】20190728 整段整段學起來 消費三小時,2019-07-28T08:27:03Z,R5GD67YSVUI,https://www.youtube.com/watch?v=R5GD67YSVUI
【LNG】20190623 REBOUND,2019-06-23T15:09:59Z,ZuGdoU5K7T0,https://www.youtube.com/watch?v=ZuGdoU5K7T0
【LNG】20190526 鄉巴佬的日本行,2019-06-23T15:04:53Z,8rJntcD7xKQ,https://www.youtube.com/watch?v=8rJntcD7xKQ
【LNG】20190414 爆開,2019-04-16T19:49:29Z,H1hDzupJWTE,https://www.youtube.com/watch?v=H1hDzupJWTE
【LNG】20190310 Puzza,2019-03-09T20:16:08Z,RMdHZFhB8Kc,https://www.youtube.com/watch?v=RMdHZFhB8Kc
【LNG】20190119 歡樂KTV,2019-02-23T22:02:42Z,UT6MrQSa7Cg,https://www.youtube.com/watch?v=UT6MrQSa7Cg
【LNG】20190224 不爽不要玩桌遊,2019-02-23T20:43:55Z,pTOut8XQaCo,https://www.youtube.com/watch?v=pTOut8XQaCo
【LNG】20181216 忌嘲笑民間藝人,2018-12-16T06:32:04Z,gLcgO4dzyy0,https://www.youtube.com/watch?v=gLcgO4dzyy0
